f0,f1,f2,f3,f4,f5,f6,f7,success
0.5000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,1
0.5625,0.5000,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.5625,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.5625,0.5833,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.5625,0.5833,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,1
0.6250,0.5833,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.6250,0.5833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.6250,0.6667,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.6250,0.6667,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.6875,0.6667,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.6875,0.6667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.6875,0.7500,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.6875,0.7500,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.7500,0.7500,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.7500,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.7500,0.8333,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.7500,0.8333,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.8125,0.8333,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.8125,0.8333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.8125,0.9167,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.8125,0.9167,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.8750,0.9167,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.8750,0.9167,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.8750,1.0000,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.6362,0.6400,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.6987,0.6400,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.6987,0.6400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.6987,0.7233,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.6987,0.7233,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.7612,0.7233,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.7612,0.7233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.7612,0.8067,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.7612,0.8067,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.8237,0.8067,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
0.8237,0.8067,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0
0.8237,0.8900,0.0000,0.0500,0.0000,0.0000,0.0000,-0.0500,0
0.8237,0.8900,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0
0.8862,0.8900,0.0500,0.0000,0.0000,0.0000,-0.0500,0.0000,0
