a,b,op,result,success
46,42,2,1932,1
34,35,2,1190,1
14,4,2,56,1
7,32,1,-25,1
24,44,3,0.5454545454545454,1
21,7,3,3.0,1
33,24,3,1.375,1
10,12,2,120,1
29,41,1,-12,1
20,13,2,260,1
10,17,3,0.5882352941176471,1
1,1,3,1.0,1
35,27,2,945,1
21,6,1,15,1
15,22,0,37,1
30,24,3,1.25,1
17,10,3,1.7,1
48,15,3,3.2,1
47,21,0,68,1
48,33,0,81,1
27,1,0,28,1
35,44,1,-9,1
35,28,0,63,1
44,40,3,1.1,1
11,39,2,429,1
28,25,0,53,1
16,37,2,592,1
16,45,2,720,1
23,30,2,690,1
35,35,2,1225,1
6,49,3,0.12244897959183673,1
28,34,3,0.8235294117647058,1
40,15,2,600,1
1,9,3,0.1111111111111111,1
28,7,0,35,1
21,35,0,56,1
18,14,2,252,1
45,19,1,26,1
0,42,3,0.0,1
40,16,3,2.5,1
25,6,0,31,1
37,13,0,50,1
37,29,1,8,1
50,14,2,700,1
36,50,1,-14,1
31,6,0,37,1
35,33,1,2,1
1,44,2,44,1
42,15,0,57,1
19,8,3,2.375,1
14,16,1,-2,1
29,1,3,29.0,1
1,49,2,49,1
6,14,3,0.42857142857142855,1
37,34,0,71,1
38,45,3,0.8444444444444444,1
44,8,1,36,1
35,42,2,1470,1
6,46,2,276,1
28,41,3,0.6829268292682927,1
40,49,3,0.8163265306122449,1
24,28,2,672,1
40,33,1,7,1
39,6,2,234,1
32,23,3,1.391304347826087,1
44,43,1,1,1
18,26,0,44,1
3,32,1,-29,1
40,26,2,1040,1
26,20,2,520,1
12,9,1,3,1
1,15,2,15,1
8,19,0,27,1
29,13,1,16,1
31,1,1,30,1
4,50,1,-46,1
30,25,3,1.2,1
11,40,0,51,1
30,5,2,150,1
2,47,3,0.0425531914893617,1
45,46,2,2070,1
4,1,1,3,1
40,39,0,79,1
38,2,2,76,1
28,30,1,-2,1
49,12,1,37,1
3,3,0,6,1
6,15,1,-9,1
43,31,0,74,1
49,33,0,82,1
48,47,2,2256,1
41,48,3,0.8541666666666666,1
34,15,3,2.2666666666666666,1
20,24,2,480,1
28,8,2,224,1
16,29,1,-13,1
33,3,3,11.0,1
43,18,1,25,1
47,11,3,4.2727272727272725,1
25,32,2,800,1
42,28,1,14,1
31,10,2,310,1
40,15,2,600,1
6,35,0,41,1
5,5,2,25,1
42,47,3,0.8936170212765957,1
18,3,2,54,1
35,30,1,5,1
6,43,3,0.13953488372093023,1
18,12,1,6,1
3,44,3,0.06818181818181818,1
4,45,1,-41,1
49,11,1,38,1
11,9,0,20,1
45,13,0,58,1
13,28,3,0.4642857142857143,1
27,3,3,9.0,1
23,33,2,759,1
44,1,0,45,1
11,4,1,7,1
11,41,2,451,1
9,14,1,-5,1
47,29,3,1.6206896551724137,1
16,13,0,29,1
11,17,3,0.6470588235294118,1
26,49,0,75,1
25,40,0,65,1
31,21,3,1.4761904761904763,1
39,22,3,1.7727272727272727,1
1,9,2,9,1
2,26,3,0.07692307692307693,1
11,47,1,-36,1
21,21,0,42,1
8,48,2,384,1
12,13,3,0.9230769230769231,1
41,16,3,2.5625,1
26,11,3,2.3636363636363638,1
35,23,3,1.5217391304347827,1
41,21,1,20,1
48,47,3,1.0212765957446808,1
5,12,1,-7,1
