dx,dy,vx,vy,success
21.06,-91.78,5.00,-5.00,1
29.28,-69.22,5.00,-5.00,1
-44.34,96.79,-5.00,5.00,1
98.61,62.71,-5.00,0.00,1
73.49,-87.32,0.00,5.00,1
69.24,-5.08,-5.00,5.00,0
41.21,91.92,5.00,5.00,1
66.29,-17.25,5.00,-5.00,1
98.93,-83.05,0.00,5.00,1
18.55,-46.84,-5.00,0.00,1
-36.70,93.94,-5.00,0.00,1
8.61,55.04,5.00,5.00,1
98.01,-42.61,5.00,5.00,1
-66.25,-14.68,0.00,5.00,1
25.81,65.49,-5.00,0.00,1
-91.24,-50.79,-5.00,5.00,1
-94.98,26.84,-5.00,0.00,1
-27.86,52.43,5.00,0.00,1
-96.60,88.31,-5.00,-5.00,1
53.83,94.90,5.00,0.00,1
-44.69,-49.97,-5.00,0.00,1
91.31,-11.98,-5.00,5.00,1
-78.13,43.73,5.00,5.00,1
52.85,-6.37,0.00,-5.00,1
-86.07,-62.23,-5.00,0.00,1
-72.44,-72.59,5.00,-5.00,1
21.66,-50.32,0.00,-5.00,1
93.63,44.72,0.00,5.00,1
-11.88,65.18,-5.00,-5.00,1
-69.85,27.64,0.00,-5.00,1
-44.20,-88.28,5.00,-5.00,1
-96.98,-59.22,5.00,5.00,0
-95.67,-60.60,-5.00,-5.00,1
-96.64,23.41,-5.00,-5.00,1
60.56,34.56,0.00,-5.00,1
74.34,-65.85,0.00,5.00,1
-79.92,10.26,5.00,5.00,1
-14.10,97.15,5.00,5.00,1
-85.26,68.33,0.00,-5.00,1
65.50,53.70,-5.00,-5.00,0
56.94,14.72,-5.00,-5.00,0
52.42,-50.76,5.00,0.00,1
79.77,15.48,0.00,5.00,1
-56.67,31.56,5.00,5.00,1
29.31,87.50,-5.00,-5.00,0
74.58,-97.87,-5.00,5.00,1
-59.20,46.79,5.00,5.00,1
66.99,-87.03,5.00,0.00,1
44.92,77.85,0.00,-5.00,1
-37.48,42.50,5.00,5.00,1
-44.96,-33.10,-5.00,-5.00,1
-8.05,73.42,0.00,-5.00,0
-73.54,-66.54,0.00,-5.00,1
54.38,-31.00,-5.00,0.00,0
34.32,61.51,5.00,0.00,1
98.19,15.62,0.00,5.00,1
16.01,-99.70,5.00,-5.00,1
-38.84,-57.59,0.00,-5.00,1
-80.49,49.25,0.00,-5.00,1
-12.25,67.94,-5.00,5.00,1
61.21,-44.04,-5.00,0.00,0
-51.30,-71.48,-5.00,0.00,1
-18.16,71.17,0.00,-5.00,0
-80.28,-87.67,-5.00,0.00,1
29.44,-63.30,-5.00,0.00,1
-60.71,4.34,-5.00,5.00,1
-32.23,60.37,5.00,0.00,1
81.52,99.49,0.00,-5.00,1
11.89,-59.12,-5.00,0.00,1
60.82,96.36,-5.00,-5.00,0
-92.69,-26.12,5.00,0.00,1
-53.57,72.68,-5.00,-5.00,1
-65.92,56.87,0.00,5.00,1
-74.91,-16.46,-5.00,0.00,1
95.18,-2.21,5.00,-5.00,1
-91.56,-3.12,5.00,0.00,0
65.18,-88.01,-5.00,-5.00,1
-37.95,91.62,0.00,5.00,1
-68.74,-40.30,0.00,5.00,1
-59.32,-29.64,0.00,5.00,1
71.71,88.91,5.00,5.00,1
62.50,7.72,0.00,-5.00,1
-10.04,89.83,0.00,5.00,1
70.01,39.99,0.00,5.00,1
-72.12,96.83,5.00,5.00,1
-90.22,95.89,5.00,5.00,1
-61.05,52.95,-5.00,5.00,1
52.80,-55.57,0.00,5.00,1
45.93,47.01,5.00,-5.00,1
-4.20,-70.00,-5.00,-5.00,1
98.39,59.15,-5.00,-5.00,0
34.67,-53.08,-5.00,5.00,0
-58.55,-23.26,0.00,-5.00,1
